INDICE,COLOR,TIPO,TEXTO,FLAVOR
298,Roja,Espanto,El Carretón de la Muerte,El único transporte público que sí cumple horario.
299,Roja,Personajes,Edwin Valero,Invicto por nocaut y un gancho que te mandaba a dormir.
300,Roja,Comida,El papelón con limón,La gatorade criolla que te devuelve el alma en dos tragos.
301,Roja,Objetos,Las pastillas de Atamel,"Si no te lo baja el Atamel, ya eso es brujería."
302,Roja,Lugares,El bulevar de Catia,"Si consigues buen precio aquí, eres un genio del comercio."
303,Roja,Evento,Las doce uvas a la medianoche,El rito de las doce uvas donde cada deseo casi te ahoga.
304,Roja,Dichos,"""Echar broma""","Fastidiar con cariño, hasta que deja de ser con cariño."
305,Roja,Personajes,El reguetonero del barrio,Sueña con el Hard Rock; graba con una cobija en la pared.
306,Roja,Guachafitas,Estacionar en doble fila y dejar las luces intermitentes como pidiendo perdón,Las cuatro luces: un 'ya vengo' de dos minutos o dos horas.
307,Roja,Musica,La hora del vallenato en la barra,El instante en que el despecho ajeno se vuelve historia propia.
308,Roja,Espanto,La Mula Maniá,Se metió con un cura y terminó relinchando encadenada.
309,Roja,Personajes,Antonio Cermeño,Pegaba más duro que la inflación de un solo día.
310,Roja,Comida,La chicha del señor de la esquina,El brebaje espeso cuyo origen es mejor no interrogar.
311,Roja,Objetos,El frasco de Vick VapoRub,El bálsamo sagrado que cura desde la tos hasta el alma.
312,Roja,Lugares,La playa de Choroní,"Mil curvas que te marean, pero al final tambores y cocofrío."
313,Roja,Evento,Correr con la maleta vacía dando la vuelta a la manzana,El rito viajero de dar vueltas cargando esperanzas vacías.
314,Roja,Dichos,"""Tirar la toalla""",La rendición solemne justo en la víspera del triunfo.
315,Roja,Personajes,La vecina que lo sabe todo,La red de inteligencia que todo lo sabe antes que ocurra.
316,Roja,Guachafitas,Bautizar como «el chinito» a cualquier abasto sin importar el dueño,"Todo barrio tiene su chinito, sin importar el dueño."
317,Roja,Musica,Tambor barloventeño en Semana Santa,Para el lunes nadie en Yare se levanta de la cama.
318,Roja,Espanto,El Familiar de la hacienda,El primer caso de explotación laboral con monstruo incluido.
319,Roja,Personajes,Jorge Linares,Pegaba tan rápido que el rival se enteraba por redes.
320,Roja,Objetos,La pava (la gorra),"Mientras más sucia y desteñida, más respeto impone."
321,Roja,Lugares,El Parque del Este,Siempre hay un señor haciendo Tai Chi a las seis de la mañana.
322,Roja,Evento,El partido de la Vinotinto que para al país,"Oficinas vacías, calles muertas, todos rezándole al VAR."
323,Roja,Personajes,El que cuadra el carro mal estacionado,Deja el carro atravesado y un número para que 'lo llames'.
324,Roja,Guachafitas,El que graba el concierto entero por el teléfono y nunca lo vuelve a ver,Pagó la entrada para ver el show por una pantallita.
325,Roja,Musica,El calipso de El Callao en Carnaval,La única semana en que Bolívar olvida el oro por el ritmo.
326,Roja,Personajes,Tomás Rincón,Corre toda la cancha como si lo persiguiera la PTJ.
327,Roja,Comida,Un ron añejo con hielo y nada más,Echarle refresco es un crimen castigado por la sociedad.
328,Roja,Objetos,El carrito por puesto,El corcel colectivo que desafía el espacio y la cordura.
329,Roja,Lugares,Plaza Venezuela,Una fuente bonita rodeada de bocinas y groserías.
330,Roja,Evento,La caída del sistema en el banco,"La excusa desde 1998, sin regreso."
331,Roja,Dichos,"""Echarse fresco""","Relajarte sin preocuparte, con aire robado al vecino."
332,Roja,Personajes,El político en campaña,"Aparece cada cinco años, te da una gorra y una promesa."
333,Roja,Musica,El coro del colegio,Veinte niños desafinados rezando por que no se vaya la luz.
334,Roja,Espanto,El Ánima de Pica-Pica,"Te cumple el milagro, pero no preguntes cómo."
335,Roja,Comida,Una cerveza bien fría en la playa,El néctar glacial cuyo frío es cuestión de honor familiar.
336,Roja,Objetos,La olla arrocera con tapa amarrada,Amarrada con mecate desde 2009 y aún hace el arroz perfecto.
337,Roja,Lugares,La autopista Regional del Centro,"Tres horas para avanzar dos kilómetros. Los domingos, peor."
338,Roja,Evento,El bautizo que se vuelve fiesta hasta las 3 a.m.,Empezó con misa y terminó con el padrino bailando en la silla.
339,Roja,Dichos,"""Comerse un cable""",Pasar hambre extrema. Plato principal del mes de enero.
340,Roja,Personajes,El que llega tarde a todo,"Usa la hora venezolana, que no existe en ningún reloj."
341,Roja,Guachafitas,Pintar el frente de la casa y dejar los lados con el bloque pelado,"Por delante es Beverly Hills, por detrás es obra negra."
342,Roja,Musica,El reguetón sonando en la buseta a las 6 a.m.,El chofer decidió que tu silencio matutino no importa.
343,Roja,Espanto,El Ánima Sola,"'Yo te resuelvo, pero acuérdate de mí', versión espiritual."
344,Roja,Personajes,José Manuel Rey,Marcaba más pegado que un familiar pidiendo prestado.
345,Roja,Comida,El batido de parchita con leche,El néctar traicionero que seduce y castiga a cada sorbo.
346,Roja,Objetos,La cocina de kerosén de la abuela,Espera en el depósito el día que 'no haya gas'. Y explota.
347,Roja,Lugares,El Cementerio (la zona),"Un barrio llamado Cementerio, irónicamente vivito y coleando."
348,Roja,Evento,La playa en Semana Santa con medio país encima,Llegas a las 6am y la toalla del vecino ya toca la tuya.
349,Roja,Dichos,"""Estar pendiente del medio""",Vigilas la vida de todos menos la tuya. Talento de tía.
350,Roja,Personajes,El amigo que nunca tiene efectivo,Olvida la billetera justo cuando llega la cuenta.
351,Roja,Guachafitas,El que se aprende el baile de TikTok pero solo lo hace en bodas,Practicó dos meses encerrado para soltarlo en la boda.
352,Roja,Musica,La Billo's Caracas Boys,Tu abuelo jura que sonaba mejor que hoy. Y tiene razón.
353,Roja,Espanto,El Hombre Caimán,"Por espiar bañistas quedó mitad hombre, mitad caimán."
354,Roja,Personajes,Gabriel Cichero,Cara de pana que te fía hasta la quincena que nunca llega.
355,Roja,Comida,El marrón claro de la panadería,El café que pides cuando no sabes pedir café.
356,Roja,Dichos,"""Pasar más hambre que maestro de escuela""",Pobreza tan famosa que hasta tiene profesión asignada.
357,Roja,Personajes,La tía que pellizca los cachetes,Grita '¡qué grande está!' y te arranca media cara.
358,Roja,Guachafitas,Echarle limón a todo,Le echa limón a la pizza: 'así mata el bicho'.
359,Roja,Musica,La Dimensión Latina,"Volvió una fiesta de barrio orquesta, sin pedir permiso."
360,Roja,Espanto,La Cigua,Tiene los pies al revés para que no sepas por dónde se fue.
361,Roja,Personajes,Rafael Dudamel,Atajaba penales y críticas con la misma serenidad.
362,Roja,Comida,La cocada del playero,"'¡Cocada, cocadaaa!' es el himno oficial de la playa."
363,Roja,Objetos,El control remoto con teipe,Hay que apretarlo con fe y en ángulo exacto para que cambie.
364,Roja,Lugares,La panadería de la esquina,"'Me das un palito' es pan, y el café viene con noticia gratis."
365,Roja,Evento,El cumpleaños con torta de tres leches sudada,Sale del refri transpirando azúcar. Igual pides para llevar.
366,Roja,Personajes,El que pone la música a todo volumen en la madrugada,El que impone su son a todo un vecindario contra su voluntad.
367,Roja,Guachafitas,Comprar la torta «para la dieta» y comérsela parado frente a la nevera,Las calorías comidas de pie no cuentan. Es ciencia.
368,Roja,Musica,Un changa tuki sonando en el malandreo,Nació en el barrio y el mundo lo copió sin dar las gracias.
369,Roja,Espanto,El Pájaro del Mal Agüero,"Cante o no cante, algo malo va a pasar. Esto es Venezuela."
370,Roja,Personajes,Josef Martínez,Celebraba con un rugido más fuerte que tu estómago en ayuno.
371,Roja,Comida,La jalea de mango verde,Te duele la barriga pero igual pides 'una más'.
372,Roja,Objetos,El colador de media de café,"Nadie la limpia bien, pero hace el guayoyo más sabroso."
373,Roja,Lugares,El abasto del chino,"Tiene de todo, menos sencillo. 'No hay, jefe.'"
374,Roja,Dichos,"""Hablar paja""",Decir mucho y no decir nada. Especialidad del político.
375,Roja,Personajes,El cuñado opinador,"Opina de todo, pero nadie sabe en qué trabaja."
376,Roja,Guachafitas,El que llega tarde y de una se sirve como si hubiera ayudado a cocinar,"No picó ni una papa, pero agarra el plato más hondo."
377,Roja,Espanto,Juan Machete,Vendió el alma por ganado y terminó sin un solo becerro.
378,Roja,Personajes,Yeferson Soteldo,Gambetea rivales como tú esquivas al de las rifas.
379,Roja,Comida,El dulce de lechosa con clavitos,"Nadie lo pide, pero todos lo comen en diciembre."
380,Roja,Objetos,La perinola de palo,Tu tío la juega con la concentración de un cirujano.
381,Roja,Lugares,El mercado municipal,'A la orden mi amor' aunque tengas 80 años.
382,Roja,Evento,El paseo a Margarita pagado a plazos,Llevas dos años pagándolo y ni has hecho la maleta.
383,Roja,Personajes,El vendedor de empanadas de la playa,Te las vende calientes aunque tú estés sudando frío.
384,Roja,Guachafitas,Guardar el bombillo bueno y dejar prendido el malo «por si acaso»,"Lo bueno se guarda para nunca; lo malo, hasta que explote."
385,Roja,Musica,La novela de las 9 que paralizaba el país,"Antes de Netflix, nadie llamaba ni visitaba a esa hora."
386,Roja,Espanto,El Diablo de Yare,El único diablo que respeta el horario de misa.
387,Roja,Personajes,Wuilker Faríñez,Tapa todo menos las ganas del país de ir a un Mundial.
388,Roja,Comida,Los suspiros que se deshacen en la boca,La nube dulce que se desvanece dejando temblando los dientes.
389,Roja,Objetos,El trompo con la púa gastada,"Gira chueco desde que se dobló, pero lo defiendes con la vida."
390,Roja,Lugares,El terminal de pasajeros,El bus sale 'ya mismito' desde hace dos horas.
391,Roja,Evento,El día que sube el dólar y baja el ánimo,Abres el monitor paralelo y ya sabes: hoy comes sin lujo.
392,Roja,Dichos,"""Estar como el perro de las dos tortas""",No te decides entre dos y te quedas sin ninguna.
393,Roja,Personajes,El que se queda hablando en la puerta,"Dijo 'bueno, ya me voy' hace cuarenta minutos."
394,Roja,Guachafitas,El que cuenta el chiste y se ríe solo,Lleva diez minutos riéndose y nadie ha entendido nada.
395,Roja,Musica,Topacio,Tu abuela perdonaba todo con tal de que el galán la viera.
396,Roja,Personajes,Soledad Bravo,Cantaba tan fuerte que despertaba al que dormía en misa.
397,Roja,Comida,Las polvorosas que te ahogan,La galleta más seca del universo. Ten un vaso de agua cerca.
398,Roja,Lugares,La farmacia que tiene de todo menos lo que buscas,Tiene perfumes y peluches; tu pastilla 'justo se acabó'.
399,Roja,Evento,Comprar por encargo a la que «trae cosas de Miami»,Te trae hasta los repuestos del carro en la maleta de mano.
400,Roja,Dichos,"""Salir con un domingo siete""",Aparecerte con una sorpresa terrible y fuera de lugar.
401,Roja,Personajes,La reina de belleza del pueblo,Camina por la plaza saludando con la mano de la realeza.
402,Roja,Guachafitas,Vestirse completo de la marca pirata del mercado de Quinta Crespo,El 'Nike' con la palomita al revés. Orgullo nacional.
403,Roja,Musica,Cristal,"Madre perdida, un secreto y un final feliz de 200 capítulos."
404,Roja,Espanto,El Muerto que pide la cola,Se baja en el cementerio sin pagar el pasaje.
405,Roja,Personajes,Yordano,Más romántico que un 'buenos días' con gif de flor.
406,Roja,Comida,Una Susy a temperatura ambiente,Se derretía en la lonchera y manchaba el cuaderno.
407,Roja,Objetos,El papagayo de bolsa plástica,"Palitos, bolsa y cabuya, y volaba mejor que las compradas."
408,Roja,Lugares,El centro comercial con aire acondicionado polar,El refugio glacial que te obliga a abrigarte contra su ventisca.
409,Roja,Evento,La pichirre que cobra hasta el hielo en su fiesta,"Te invita, pero el hielo lo vende por cubito."
410,Roja,Dichos,"""Pagar el pato""",Cargar la culpa de algo que ni siquiera hiciste.
411,Roja,Personajes,El taxista filósofo,Te resuelve el país y el sentido de la vida en un trayecto.
412,Roja,Guachafitas,Tener el control remoto envuelto en una bolsa de pan,"Nadie sabe por qué, pero se respeta el plástico desde 1998."
413,Roja,Musica,Kassandra,Dicen que detuvo una guerra: todos querían saber el final.
414,Roja,Espanto,La luz que se mueve en el cementerio,La ciencia dice fósforo; tu tía dice que la ciencia no sabe.
415,Roja,Personajes,Franco De Vita,Sonaba en cada quinceañero y cada despecho del país.
416,Roja,Comida,Una Cocosette mordida en el recreo,La economía escolar entera giraba alrededor de ella.
417,Roja,Lugares,La parada del autobús bajo el sol,"No hay techo, no hay bus, pero sí un 'ya viene, ya viene'."
418,Roja,Dichos,"""Estar más pelado que rodilla de chivo""",Quiebra tan honda que ni el chivo alcanza para describirla.
419,Roja,Personajes,El arrocero,Nadie sabe quién lo invitó y ya baila con la tía.
420,Roja,Guachafitas,El que arregla la antena moviéndose por toda la sala hasta que «se ve»,Te toca quedarte en un pie como flamenco para que 'se vea'.
421,Roja,Musica,Por Estas Calles,Tan real que no sabías si veías la tele o la ventana.
422,Roja,Espanto,El encanto de la laguna,"Por eso mamá no te dejaba nadar solo, no era la digestión."
423,Roja,Personajes,Karina,Cantaba 'sálvame' como nosotros en la cola del pasaporte.
424,Roja,Comida,Un Toronto que te regalan el 24,"Nadie compra la caja, pero todos se la comen."
425,Roja,Objetos,El koala (la riñonera) del bachaquero,Banco ambulante a la cintura con la economía paralela.
426,Roja,Lugares,El parquero del centro,Te 'cuidó' sin pedírselo y cobra como valet de hotel.
427,Roja,Dichos,"""Coger los corotos""",Agarrar tus cosas e irte con un portazo épico.
428,Roja,Personajes,El abuelo que cuenta la misma historia,El patriarca cuya misma gesta se narra una y mil veces.
429,Roja,Guachafitas,Llevar el termo de tinto al estadio como si fuera oro líquido,Mete el café de la abuela escondido para no pagar el kiosco.
430,Roja,Musica,La Dama de Rosa,Sufría con tanta clase que tu mamá la imitaba hasta pa'l pan.
431,Roja,Espanto,El espíritu burlón del caserío,"El primo molestoso del más allá, sin sangre pero con la maña."
432,Roja,Personajes,Yolanda Moreno,Llevó el joropo a gente que no sabía qué era una alpargata.
433,Roja,Comida,Una Samba de fresa,La cremita siempre se pegaba al papelito. Lujo de los 90.
434,Roja,Objetos,La bombona de gas vacía,El tesoro codiciado que aguarda eternamente al camión salvador.
435,Roja,Lugares,La peluquería del barrio,El santuario del barrio donde se corta el pelo y se teje la vida.
436,Roja,Evento,El parrillero del barrio un sábado en la tarde,La chuleta 'ya va a estar' desde hace tres horas.
437,Roja,Dichos,"""Echarle agua al guarapo""",Aguar el entusiasmo ajeno con un comentario realista.
438,Roja,Guachafitas,El que se hace el sordo cuando le toca pagar la cuenta,El maestro de la evasión que desaparece al llegar la cuenta.
439,Roja,Personajes,Ali Primera,Sus canciones suenan más vigentes que el aumento del pasaje.
440,Roja,Comida,El queso de mano recién hecho,Se acaba antes de llegar a la nevera de tanto 'probar'.
441,Roja,Objetos,El tanque de agua en el techo,"Si suena a hueco al golpearlo, prepárate para el tobo."
442,Roja,Lugares,El liceo público,Aprendiste más en el receso que en cualquier aula.
443,Roja,Dichos,"""Quedar como un zapato""","La humillación total ante el mundo, sin retorno posible."
444,Roja,Personajes,El que vende cualquier cosa en el semáforo,El mercader del semáforo que ofrece el mundo entero en rojo.
445,Roja,Guachafitas,Mandar audios de cinco minutos para decir «ok»,Convierte un 'sí' en un podcast con '¿aló? ¿me escuchaste?'.
446,Roja,Musica,El llamado «¡Bomba!» del locutor de fiesta,El grito que avisa: suelta a tu pareja o abrázala más fuerte.
447,Roja,Personajes,Gualberto Ibarreto,Le cantaba a playas de Margarita que ya no podemos pagar.
448,Roja,Comida,La nevera llena de envases de mantequilla con sobras,Buscas mantequilla y encuentras caraotas de hace una semana.
449,Roja,Lugares,La playa de Higuerote,Tres horas de cola para una arena que ya conocías.
450,Roja,Evento,El patinatón navideño en la madrugada,"Misa de madrugada, patinas en la calle y desayunas con tetero."
451,Roja,Dichos,"""Echar un pollo""",Decir un disparate enorme con toda la seguridad del mundo.
452,Roja,Personajes,La señora del puesto de jugos naturales,Te exprime la naranja con brazo de hierro y todo el chisme.
453,Roja,Guachafitas,El abuelo que le baja el volumen a la novela para «ahorrar luz»,El sabio del ahorro que jura economizar bajando el sonido.
454,Roja,Musica,Un seis por derecho cantado a capela,Rezas para que no rimen tu nombre con algo vergonzoso.
455,Roja,Comida,La empanada de pabellón gigante,La obra magna que encierra un banquete entero en masa frita.
456,Roja,Objetos,El frasco de mayonesa relleno de caraotas,El de mayonesa guarda caraotas y todos mienten del contenido.
457,Roja,Lugares,Canaima,Tan prehistórico que esperas ver un dinosaurio asomarse.
458,Roja,Evento,La caraota refrita del desayuno,La reencarnación más sabrosa que ofrece la cocina criolla.
459,Roja,Dichos,"""Estar en olla de grillos""",El caos absoluto donde mil voces chocan sin sentido alguno.
460,Roja,Personajes,El que se mete en discusiones ajenas en Twitter,Pelea a las 2am por equipos que ni le pagan.
461,Roja,Guachafitas,Comprar el pollo entero y pelearse en la mesa por la rabadilla,El pedacito por el que familias enteras rompieron lazos eternos.
462,Roja,Personajes,Desorden Público,Décadas tocando 'Allá cayó' mientras aquí todo sigue cayendo.
463,Roja,Comida,Los pasteles andinos de la parada,Saben a viaje familiar y a curva peligrosa de montaña.
464,Roja,Objetos,El pote de Toddy reciclado,"Su segunda vida: harina, tornillos y ese 'por si acaso'."
465,Roja,Lugares,El Hatillo,"Postre carísimo, foto y artesanía que no necesitabas."
466,Roja,Evento,El corte de luz justo en el clímax de la novela,Se va la luz justo cuando van a revelar quién es el papá.
467,Roja,Dichos,"""Tener la sartén por el mango""",Estar en posición de mandar. El sueño de todo suegro.
468,Roja,Personajes,El pana que organiza el viaje pero nunca confirma,"Hizo el grupo, puso la fecha, y al final no fue ni él."
469,Roja,Guachafitas,El que se baña con la lámpara del teléfono porque se fue la luz,"Enjabonarse, alumbrar y rezar que el celular no caiga al tobo."
470,Roja,Personajes,Caramelos de Cianuro,'Las Estrellas' todavía suena en la rumba del cuarentón.
471,Roja,Comida,El pernil navideño,El tío lo cuida con cuchillo. Que Dios ampare al que llegue tarde.
472,Roja,Objetos,La lata de galletas con costura,La trampa más cruel: el cofre de dulces lleno de costura.
473,Roja,Lugares,La cima del Pico Bolívar,Todos presumen que llegaron; casi nadie aguantó el frío.
474,Roja,Evento,La pelea por el control remoto del béisbol,La abuela exige su novela en pleno noveno inning.
475,Roja,Dichos,"""Más viejo que el frío""",Tan viejo como el chiste que tu tío repite cada Navidad.
476,Roja,Personajes,El que se baña los domingos por la mañana cantando,Vuelve la regadera un teatro y la cuadra sufre las baladas.
477,Roja,Guachafitas,Decir «ya casi llego» desde la cama sin haberse levantado,Mide las distancias en mentiras: sigue en la cama.
478,Roja,Musica,El himno del equipo sonando en el estadio,El coro de treinta mil almas que estremece el estadio entero.
479,Roja,Personajes,Nelson Arrieta,Suena en cada mall junto al olor a hallaca y a deuda.
480,Roja,Comida,El pan de jamón con pasas y aceitunas,Media familia lo ama; la otra le hace cirugía a las pasas.
481,Roja,Objetos,El secador de pelo usado como soplador de parrilla,"Cuando el carbón no prende, entra el secador de tu hermana."
482,Roja,Lugares,El abasto a las once de la noche,"Con la santamaría a medio cerrar, pero dispuesto a salvarte."
483,Roja,Dichos,"""Dar la cara""",Asumir la culpa cuando todo se complicó. Casi extinto.
484,Roja,Personajes,El que se acuesta en la grama del parque a las 6 a.m.,Se toma la foto estirando y desaparece hasta el 1 de enero.
485,Roja,Guachafitas,El que le echa la culpa al perro de los ruidos en la cama,"'Fue Firulais', jura, mientras el perro lo mira ofendido."
486,Roja,Musica,La gaita que le hicieron a la maestra del colegio,En diciembre hasta el perro de la esquina merece su gaita.
487,Roja,Personajes,Ricardo Aguirre,El monumento de la gaita cuyo canto es plegaria en todo Zulia.
488,Roja,Comida,La ensalada de gallina de diciembre,"Papa, pollo y mayonesa en una ponchera tamaño lavamanos."
489,Roja,Objetos,El cauchito de la lavadora amarrado al portón,Una liga gruesa cierra el portón mejor que candado importado.
490,Roja,Lugares,La cola del cajero automático,Por fin te toca y dice 'fuera de servicio'. Fe ciega.
491,Roja,Evento,El mototaxi esquivando huecos como en un videojuego,Conoce cada hueco como tu mamá conoce tus mentiras.
492,Roja,Dichos,"""Estar entre la espada y la pared""","Atrapado entre dos males, como cuando mamá y novia pelean."
493,Roja,Personajes,El que se sabe toda la novela,Te cuenta el final antes y se ofende si no te emocionas.
494,Roja,Guachafitas,Guardar el dinero en la media o en el sostén en vez del banco,"La banca más segura del país: cero comisiones, máxima confianza."
495,Roja,Musica,Un bolero a la medianoche con luz de vela,Romántico hasta que recuerdas que la vela es por el apagón.
496,Roja,Personajes,Guaco,60 años sonando y nadie sabe cuántos integrantes tiene.
497,Roja,Comida,El ponche crema casero,El néctar traicionero que embriaga con dulzura de terciopelo.
498,Roja,Objetos,La sábana de Hello Kitty del tío de 50 años,"Nadie sabe cómo llegó, pero es la más fresquita y la defiende."
499,Roja,Lugares,El kiosco de revistas y chucherías,"Cigarros sueltos, recargas y consejos no pedidos sobre el país."
500,Roja,Evento,La caída de la señal del cable en pleno juego,"Bases llenas, dos outs, y la pantalla se congela. Grito general."
501,Roja,Dichos,"""Echarse el muerto""",Asumir la culpa de un problema ajeno por pura mala suerte.
502,Roja,Personajes,La maestra de preescolar,"Aguanta cuarenta carajitos, tres mocos y un vómito, y sonríe."
503,Roja,Guachafitas,El que pone la silla en la cola para «guardar el puesto» y desaparece,"Dejó una silla y un primo de testigo, y volvió tres horas después."
504,Roja,Musica,El joropo del acto cultural escolar,Se sabía el zapateo mejor que las tablas de multiplicar.
505,Roja,Personajes,Felipe Pirela,El bolerista de América cuya voz rendía al corazón más duro.
506,Roja,Comida,Las hallacas que sobran hasta febrero,La hallaca inmortal que sobrevive congelada hasta la primavera.
507,Roja,Objetos,El cooler azul con la tapa rota,"Pierde el hielo en dos horas, pero lo cargas por tradición."
508,Roja,Lugares,La carnicería del barrio,Te 'rebaja' el cuerito pero te pesa la grasa. Siempre.
509,Roja,Evento,El sobón que te pasa el brazo por encima en el metro,Vagón repleto y un desconocido más pegado que tu sombra.
510,Roja,Dichos,"""Calentar la oreja""",Susurrar malas ideas hasta que el otro hace lo que no quería.
511,Roja,Personajes,El que llega a la reunión solo a comer,"No pone un bolívar, pero pide 'un pedazo grande' de primero."
512,Roja,Guachafitas,Manejar la moto con toda la familia y el mercado encima,El motorizado que carga imperios desafiando toda ley física.
513,Roja,Personajes,Trino Mora,Rockeaba cuando eso era casi un acto de rebeldía nacional.
514,Roja,Objetos,El termómetro de mercurio que se sacude,"Si se rompía, jugabas con las bolitas plateadas. Tóxico."
515,Roja,Lugares,El Centro de Caracas (casco histórico),Hasta los próceres de bronce bajarían a quejarse de la cola.
516,Roja,Evento,La feria del pueblo con calesita y algodón de azúcar,Un toro mecánico que nadie aguanta más de tres segundos.
517,Roja,Dichos,"""Estar como caballo de coleo""","Nervioso y alborotado, listo para salir corriendo."
518,Roja,Personajes,El fanático del béisbol que insulta al televisor,Grita instrucciones al mánager desde el mueble.
519,Roja,Guachafitas,El que se sabe la letra del himno cambiada por groserías desde el liceo,La versión del recreo que aún se le escapa el 5 de julio.
520,Roja,Personajes,Corina Smith,Pasó de YouTube al escenario: el talento criollo sí sube.
521,Roja,Comida,Una empanada de carne mechada en la playa,"Grasienta, en una servilleta que se transparenta. Madrugaste."
522,Roja,Objetos,La plancha de hierro fundido,La usabas y de paso ejercitabas el brazo. Indestructible.
523,Roja,Lugares,El estadio Universitario,"Cerveza tibia, hot dog con todo y un narrador que sabe tu nombre."
524,Roja,Evento,El primer aguacero que inunda toda la calle,Llovió diez minutos y la avenida ya es un río.
525,Roja,Dichos,"""Meter la pata hasta el fondo""","No un error sencillo, sino una obra maestra de metida de pata."
526,Roja,Personajes,El que arregla todo con alambre y teipe,Lo 'arregla' hasta que se vuelve a romper. Sin título.
527,Roja,Guachafitas,Echarse perfume encima en vez de bañarse cuando se va el agua,Tres rociadas de colonia y pa'la calle como si nada.
528,Roja,Personajes,Lasso,'Ojalá' la dedicaste a alguien que ya ni se acuerda de ti.
529,Roja,Comida,El sándwich de mortadela del recreo,"Pan, mortadela y nada más. Igual sabroso."
530,Roja,Objetos,El radio de pilas que solo agarra una emisora,Da igual lo que quieras: solo pega la emisora llanera.
531,Roja,Lugares,La cola del peaje,"Avanzas un metro cada media hora, y alguien se cuela inocente."
532,Roja,Evento,La visita médica de la tía que llega con remedios caseros,"Para todo tiene una hoja, un brebaje o un té amargo."
533,Roja,Dichos,"""Sacarle el cuerpo""",Esquivar una responsabilidad como torero asustado.
534,Roja,Personajes,La doña que vende dulces criollos en la ventana de su casa,"Jalea, conserva y besitos de coco: huele a infancia."
535,Roja,Guachafitas,El que pide la cuenta «dividida» y empieza a sacar la calculadora del impuesto,"'Yo solo tomé dos refrescos', dice el que comió tres parrillas."
536,Roja,Musica,El cañonazo de fin de año en la radio,Existe solo para brindar con gente que no ves desde hace un año.
537,Roja,Personajes,Micro TDH,Canta del amor mientras tú haces playback frente al espejo.
538,Roja,Comida,Un raspado de cola con leche condensada,Sirope fosforescente que te pinta la lengua y la conciencia.
539,Roja,Lugares,La playa de Cata,El mar te revuelca dos veces antes de dejarte salir con respeto.
540,Roja,Evento,"El domingo de misa, almuerzo y siesta sagrada","Después de la siesta, nadie es responsable de sus actos."
541,Roja,Dichos,"""Tener un Guayabo""","Nostálgico y triste por un amor, con vallenato de fondo."
542,Roja,Personajes,El pana que se duerme en toda fiesta,A las 11 ya ronca en el mueble con el plato en la mano.
543,Roja,Guachafitas,"Usar la franela vieja como trapo, pijama y luego de gala según la ocasión","Era de salir, pasó a dormir, terminó secando el carro."
544,Roja,Musica,Un tema de Yordano para llorar con elegancia,"Para sufrir, pero con clase y buena producción."
545,Roja,Personajes,Big Soto,Rapea de billetes verdes que aquí solo vemos en el paralelo.
546,Roja,Comida,La tizana en el cumpleaños,"Postre y bebida en un solo vaso, servido con cucharón."
547,Roja,Objetos,La bicicleta 'cross' sin frenos,Se frenaba con la suela o contra la pared del vecino.
548,Roja,Lugares,El centro comercial Sambil,'Nos vemos en el Sambil' es dirección válida en todo el país.
549,Roja,Evento,La rifa del trabajo que nunca entrega el premio,El premio se lo ganó la sobrina de la organizadora. Casualidad.
550,Roja,Dichos,"""Echar leña al fuego""",Empeorar la pelea ajena por entretenimiento. El primo metiche.
551,Roja,Personajes,El que maneja con una mano y come con la otra,"Hamburguesa, teléfono al hombro, y aún te toca corneta."
552,Roja,Guachafitas,El que pregunta «¿y eso qué es?» en el menú y termina pidiendo lo de siempre,Estudia toda la carta y al final pide pollo con tajadas.
553,Roja,Personajes,Danny Ocean,'Me rehúso' que media diáspora lloró en algún aeropuerto.
554,Roja,Comida,El pollo en brasa del domingo,El almuerzo de quien no quiso cocinar y nadie lo juzga.
555,Roja,Objetos,El abrigo que solo se usa una vez al año en Mérida,Vive en el closet esperando ese único viaje al páramo.
556,Roja,Evento,El profesor que llega tarde pero igual pasa lista,"Entra a los 40 minutos, no da clase, pero pasa lista."
557,Roja,Personajes,El locutor de radio AM de la madrugada,Voz de terciopelo que dedica baladas a doña Carmen de Petare.
558,Roja,Guachafitas,Tener una matica sembrada en una lata de leche Klim oxidada,"Ahí crece sábila, orégano y la bendición de la vecina."
559,Roja,Personajes,Catherine Fulop,"Más argentina que el dulce de leche, pero sigue diciendo 'chamo'."
560,Roja,Comida,Las arepas fritas con queso amarillo,Cuando hay flojera se fríen. Peligrosas y deliciosas.
561,Roja,Objetos,La franela de la promoción que ya no te queda,Te quedaba flojita en 5to año y hoy no pasa de los hombros.
562,Roja,Lugares,El barrio 23 de Enero,Una vista de la ciudad que cuesta cada peldaño de la escalera.
563,Roja,Evento,La cola para sacar el pasaporte que parece interminable,Cita para dentro de un año y aún así no apareces en el sistema.
564,Roja,Dichos,"""Hacerle el feo a la comida""",Despreciar el plato delante de quien lo cocinó. Pecado mortal.
565,Roja,Personajes,El que se cree DJ con la corneta del carro,Baja las ventanas para presumir buen gusto. Spoiler: no lo tiene.
566,Roja,Guachafitas,El que se duerme en la película y jura que «solo cerró los ojos un ratico»,Roncó toda la trama y pregunta '¿y quién era el malo?'.
567,Roja,Personajes,Ruddy Rodríguez,Medio país llegaba temprano a casa solo por verla.
568,Roja,Comida,El perico para el desayuno,El desayuno que se hace en cinco minutos con lo que aparezca.
